total_value,portfolio_delta,eth_delta,btc_delta,eth_price,btc_price,max_deviation,rebalance_count,total_costs
1000000.0,0.0,0.0,0.0,2714.97412109375,108141.15625,0.0,0,0.0
1000725.1719614989,0.00045302714932026725,0.0004579067151127765,0.00044489443379370396,2717.461669921875,108237.421875,0.0004579067151127765,0,0.0
1011220.4765952765,0.00696396102101859,0.010324965374161561,0.001311268543822347,2771.623046875,108425.1328125,0.010324965374161561,0,0.0
1007944.1332175835,0.004940553003969663,0.008150966444468671,-0.0004565708070345626,2759.59716796875,108042.453125,0.008150966444468671,0,0.0
1000948.5716168035,0.0005925059890247211,0.002433201555286297,-0.00249046173975422,2728.218505859375,107603.8515625,0.00249046173975422,0,0.0
1000228.7840912305,0.00014296961378582393,0.0014719051975426367,-0.0020798012703517913,2722.978271484375,107692.265625,0.0020798012703517913,0,0.0
1001585.1918887672,0.0009897643264906463,0.002373062890136273,-0.0013242777662216304,2727.890380859375,107855.1171875,0.002373062890136273,0,0.0
1002401.3886541296,0.001498618680146381,0.0031566683689280167,-0.0012770885823506987,2732.1689453125,107865.296875,0.0031566683689280167,0,0.0
1002979.0441640012,0.00185844236382697,0.002010779919841663,0.0016044430619981888,2725.91455078125,108488.7265625,0.002010779919841663,0,0.0
1004523.0546866178,0.0028189402909521983,0.003313152439473368,0.0019941633311947897,2733.024169921875,108573.3203125,0.003313152439473368,0,0.0
1004939.7438153434,0.003077837553951,0.00298181089526278,0.0032378408863751305,2731.213623046875,108843.71875,0.0032378408863751305,0,0.0
1001957.3596326839,0.001221855014376116,0.00026349703082629823,0.0028150417573652433,2716.4052734375,108751.71875,0.0028150417573652433,0,0.0
996992.4040426454,-0.00188328757841376,-0.003973993266474713,0.0015819388343912529,2693.48095703125,108483.84375,0.003973993266474713,0,0.0
988168.0921150292,-0.007450035008078856,-0.010373686299032155,-0.002614702285123802,2659.223876953125,107577.1171875,0.010373686299032155,0,0.0
991514.5874852587,-0.005331658648601545,-0.007566579443557299,-0.0016287422185924498,2674.196533203125,107789.4609375,0.007566579443557299,0,0.0
983830.003572909,-0.010209426763360714,-0.013329195163662997,-0.005052283409555925,2643.54931640625,107053.9296875,0.013329195163662997,0,0.0
982847.2972884877,-0.010836612439428581,-0.013669478674402737,-0.006150191855951315,2641.75048828125,106819.109375,0.013669478674402737,0,0.0
984605.4785405877,-0.009715050003228917,-0.010432670662469428,-0.00852127805874086,2658.91015625,106313.7265625,0.010432670662469428,0,0.0
982052.3318405313,-0.011344547710750304,-0.011981669815155662,-0.010284458416985023,2650.6845703125,105939.453125,0.011981669815155662,0,0.0
982117.3941923637,-0.011302957589164844,-0.01137119523965343,-0.011189248631710636,2653.92333984375,105747.8984375,0.01137119523965343,0,0.0
981427.1616931611,-0.0117443526687336,-0.0132039094308445,-0.009321080324085112,2644.2119140625,106143.7890625,0.0132039094308445,0,0.0
984801.1572052438,-0.009590378405300347,-0.010604705638480894,-0.007904350186862263,2657.995361328125,106444.9921875,0.010604705638480894,0,0.0
981410.4913803294,-0.01175501789130338,-0.01270090891461383,-0.010182453365862529,2646.873779296875,105961.0703125,0.01270090891461383,0,0.0
977325.7931636975,-0.014375094184457659,-0.015921799703094635,-0.011807690965245667,2629.87451171875,105617.1640625,0.015921799703094635,0,0.0
979857.8725847475,-0.013002270592644092,-0.01143910060132558,-0.015536114889863789,2570.38818359375,104832.375,0.015536114889863789,1,7.836134487786272
996559.8931106066,-0.0022158823845786846,-0.006031350695678678,0.0040744972247810625,2598.34130859375,105690.1484375,0.006031350695678678,2,12.425665474052192
1002851.0122658454,0.0018436197819965646,-0.0003851290590972912,0.005533376905875622,2627.849609375,105998.984375,0.005533376905875622,2,12.425665474052192
1003319.9942198468,0.002144925371173391,0.00013858130429605448,0.005468441838716315,2630.603515625,105985.21875,0.005468441838716315,2,12.425665474052192
1004515.9792469104,0.0029124838797689938,0.0009365553756683158,0.0061858681478819694,2634.80517578125,106137.40625,0.0061858681478819694,2,12.425665474052192
1005743.9212579092,0.0036993241163672695,0.0022991094852367446,0.006022512699588385,2641.9951171875,106102.734375,0.006022512699588385,2,12.425665474052192
1000801.0609455181,0.0005244542156694034,-0.0017036082459846696,0.004213110533874636,2620.92919921875,105719.453125,0.004213110533874636,2,12.425665474052192
